publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,lifestage,trophic_level,range_edge,species_type,number_species,note.spp,detailobs,notes_obs,measurement_type,decadal_change_daysperdecade,decadal unit,metric_source,note.bio,notes,consistent_with_climatechange,Exploited,Nonclimatic_factors_analysed,season,SeasonalClimateShift_daysperdecade,depth_category,LifeHistoryDevelopment
2004,"Frederiksen, M., M.P. Harris , F. Daunt, P. Rothery, and S. Wanless. 2004. Scale-dependent climate signals drive breeding phenology of three seabird species. Global Change Biology 10: 1214-1221.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,56.18,-2.55,10,"Isle of May, Scotland",1982,2002,21,23,Continuous,NA,Seabirds,Taxa,Uria aalge,Common Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,3,NA,Phenology,breeding phenology; median laying date,Population,2.6,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,0.090861902,Coastal,Nektonic
2004,"Frederiksen, M., M.P. Harris , F. Daunt, P. Rothery, and S. Wanless. 2004. Scale-dependent climate signals drive breeding phenology of three seabird species. Global Change Biology 10: 1214-1221.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,56.18,-2.55,10,"Isle of May, Scotland",1981,2002,22,22,Continuous,NA,Seabirds,Taxa,Rissa tridactyla,Black-legged Kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,3,NA,Phenology,breeding phenology; first egg date,Single,5.1,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,0.032823041,Coastal,Nektonic
2009,"Votier, S.C., B.J. Hatchwell, M. Mears and T.R. Birkhead. 2009. Changes in the timing of egg-laying of a colonial seabird in relation to population size and environmental conditions. Marine Ecology Progress Series 393:225-233.",Peer-reviewed journal,Irish Sea,Atlantic Ocean,Northern,51.67,-5.25,10,"Skomer Island, Wales",1973,2008,36,23,Continuous,4324,Seabirds,Taxa,Uria aalge,Common Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,1,NA,Phenology,median laying date,Population,-1.739130435,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,Yes,Spring,-0.224084599,Coastal,Nektonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Calanus helgolandicus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Cold water,13,NA,Phenology,Peak Bloom,Population,5.8,days,Calculated from manuscript or supplementary material,Not statistically significant,,Opposite to expected,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Assemblage,Calanus spp.,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,0.25,days,Calculated from manuscript or supplementary material,Not statistically significant,,Opposite to expected,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Assemblage,Clausocalanus spp.,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,-3.3,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Ctenocalanus vanus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,-10,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Paracalanus parvus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,13.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Opposite to expected,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Pseudocalanus elongat,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Cold water,13,NA,Phenology,Peak Bloom,Population,0,days,Calculated from manuscript or supplementary material,Not statistically significant,,No change,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Calanus helgolandicus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Cold water,13,NA,Phenology,Peak Bloom,Population,14.2,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Autumn,-0.443301912,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Calanus spp.,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,10.8,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Autumn,-0.443301912,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Clausocalanus spp.,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,9.2,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Summer,-0.372161914,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Ctenocalanus vanus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Cold water,13,NA,Phenology,Peak Bloom,Population,13.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Summer,-0.372161914,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Paracalanus parvus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,1.7,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Summer,-0.372161914,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Pseudocalanus elongat,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Cold water,13,NA,Phenology,Peak Bloom,Population,23.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Autumn,-0.443301912,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Centropages typicus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Warm water,13,NA,Phenology,Peak Bloom,Population,-8.3,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Corycaeus spp.b,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,38.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Autumn,-0.443301912,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Euterpina acutifrons,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,10,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Winter,-1.159890847,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,Oncaea spp.,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,12.5,days,Calculated from manuscript or supplementary material,Not statistically significant,,Consistent,Not exploited,No,Winter,-1.159890847,Pelagic,Planktonic
2009,"Conversi, A., Peluso, T., Fonda-Umani, S. 2009. Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research. 114: 1-10.",Peer-reviewed report,Mediterranean Sea,Atlantic Ocean,Northern,45.7,13.71,1,NA,1970,2005,36,36,Continuous,NA,Zooplankton,Taxa,SA,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Cosmopolitan,Warm water,13,NA,Phenology,Peak Bloom,Population,-13.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,-0.23186287,Pelagic,Planktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,53.5,-3.65,100000,Irish Sea division 107A,1971,2010,40,19,Irregular,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,-10.65,days,Given in manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,-0.63018975,Demersal,Meroplanktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,50.61,0.1,100000,Eastern Channel division 107D,1987,2009,23,17,Irregular,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,-13.6,days,Given in manuscript or supplementary material,Yes statistically significant,,Consistent,Exploited,No,Spring,0.084196102,Demersal,Meroplanktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,51.59,2.93,100000,Southern north sea division 104C,1970,2010,41,39,Continuous,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,-10.5,days,Given in manuscript or supplementary material,Yes statistically significant,,Consistent,Exploited,No,Spring,-0.205437296,Demersal,Meroplanktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,54.44,7.79,100000,East central north sea division 104BE,1970,2007,38,37,Continuous,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,-10.65,days,Given in manuscript or supplementary material,Yes statistically significant,,Consistent,Exploited,No,Spring,0.298860812,Demersal,Meroplanktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,54.44,7.79,100000,Bristol Channel Division 107FG,1990,2010,21,6,Irregular,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,0,days,Given in manuscript or supplementary material,Not statistically significant,,No change,Exploited,No,Spring,-0.678882049,Demersal,Meroplanktonic
2013,"Fincham, J. I., Rijnsdorp, A.D., Engelhard, G.H. 2013. Shifts in the timing of spawning in sole linked to warming sea temperatures. Journal of Sea Research. 75: 69-76. ",Peer-reviewed report,North-east Atlantic,Atlantic Ocean,Northern,54.44,7.79,100000,West-central North Sea 104BW,1971,2004,34,9,Irregular,NA,Bony fish,Taxa,Solea solea,Sole,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,1,NA,Phenology,Mean spawning week,Population,0,days,Given in manuscript or supplementary material,Not statistically significant,,No change,Exploited,No,Spring,-0.093150391,Demersal,Meroplanktonic
2012,"Hindell, M.A., Bradshaw, C.J.A., Brook, B.W., Fordham, D.A., Kerry, K., Hull, C., McMahon, C.R. 2012. Long-term breeding phenology shift in royal penguins. Ecology and Evolution. 2: 1563-1571.",Peer-reviewed report,Macquarie Island,Southern ocean,Southern,-54.56,158.94,10,NA,1964,1999,36,12,Two periods,NA,Seabirds,Taxa,Eudyptes schlegeli,Royal penguins,"Secondary consumer : Carnivore, detritivore, scavenger",,Trailing edge,Cold water,1,NA,Phenology,Laying date,Population,-1.1,days,Given in manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,-0.575181359,Coastal,Nektonic
2013,"Usov, N., Kutheva, I., Primakov, I., Martynova, D. 2013. Every species is good in its season: Do the shifts in the annual temperature dynamics affect the phenology of the zooplankton species in the White Sea? Hydrobiologia. 706: 11-33.",Peer-reviewed report,White Sea,Arctic ocean,Northern,65.44,36.94,100000,NA,1957,2010,54,54,Continuous,3342,Zooplankton,Taxa,Calanus glacialis,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Centre,Cold water,5,NA,Phenology,First appearance juveniles,Single,-3.6,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,-0.001980395,Pelagic,Planktonic
2013,"Usov, N., Kutheva, I., Primakov, I., Martynova, D. 2013. Every species is good in its season: Do the shifts in the annual temperature dynamics affect the phenology of the zooplankton species in the White Sea? Hydrobiologia. 706: 11-33.",Peer-reviewed report,White Sea,Arctic ocean,Northern,65.44,36.94,100000,NA,1957,2010,54,54,Continuous,3342,Zooplankton,Taxa,Acartia longiremis,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,5,NA,Phenology,First appearance juveniles,Single,0,days,Calculated from manuscript or supplementary material,No change,,No change,Not exploited,No,Spring,-0.001980395,Pelagic,Planktonic
2013,"Usov, N., Kutheva, I., Primakov, I., Martynova, D. 2013. Every species is good in its season: Do the shifts in the annual temperature dynamics affect the phenology of the zooplankton species in the White Sea? Hydrobiologia. 706: 11-33.",Peer-reviewed report,White Sea,Arctic ocean,Northern,65.44,36.94,100000,NA,1957,2010,54,54,Continuous,3342,Zooplankton,Taxa,Centropages hamatus,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,5,NA,Phenology,First appearance juveniles,Single,0,days,Calculated from manuscript or supplementary material,No change,,No change,Not exploited,No,Spring,-0.001980395,Pelagic,Planktonic
2013,"Usov, N., Kutheva, I., Primakov, I., Martynova, D. 2013. Every species is good in its season: Do the shifts in the annual temperature dynamics affect the phenology of the zooplankton species in the White Sea? Hydrobiologia. 706: 11-33.",Peer-reviewed report,White Sea,Arctic ocean,Northern,65.44,36.94,100000,NA,1957,2010,54,54,Continuous,3342,Zooplankton,Taxa,Temora longicornis,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,5,NA,Phenology,First appearance juveniles,Single,0,days,Calculated from manuscript or supplementary material,No change,,No change,Not exploited,No,Spring,-0.001980395,Pelagic,Planktonic
2013,"Usov, N., Kutheva, I., Primakov, I., Martynova, D. 2013. Every species is good in its season: Do the shifts in the annual temperature dynamics affect the phenology of the zooplankton species in the White Sea? Hydrobiologia. 706: 11-33.",Peer-reviewed report,White Sea,Arctic ocean,Northern,65.44,36.94,100000,NA,1957,2010,54,54,Continuous,3342,Zooplankton,Taxa,Evadne nordmanni,NA,"Secondary consumer : Carnivore, detritivore, scavenger",,Leading edge,Warm water,5,NA,Phenology,First appearance juveniles,Single,0,days,Calculated from manuscript or supplementary material,No change,,No change,Not exploited,No,Spring,-0.001980395,Pelagic,Planktonic
2009,"Cullen, J.M., Chambers, L.E., Coutin, P.C., Dann, P. 2009. Predicting onset and success of breeding little penguins Eudyptula minor from ocean temperatures. Marine Ecology Progress Series. 378: 269-278.",Peer-reviewed report,Phillip Island,Pacific Ocean,Southern,-38.55,145.33,10,NA,1968,2007,40,40,Continuous,NA,Seabirds,Taxa,Eudyptula minor,Little penguins,"Secondary consumer : Carnivore, detritivore, scavenger",,Centre,Cold water,1,NA,Phenology,Mean laying date,Population,6.5,days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,0.039424588,Coastal,Nektonic
2012,"Dunlop, J.N., Surman, C.A. 2012. The role of foraging ecology in the contrasting responses of two dark terns to a changing ocean. Marine Ornithology 40: 105-110. ",Peer-reviewed report,Penguin Island,Indian Ocean,Southern,-32.3,115.69,10,NA,1986,2011,26,24,Continuous,NA,Seabirds,Taxa,Onychoprion anaethetus,Bridled tern,"Secondary consumer : Carnivore, detritivore, scavenger",,Centre,Warm water,1,NA,Phenology,First egg laying,Population,10,Days,Calculated from manuscript or supplementary material,Yes statistically significant,,Consistent,Not exploited,No,Spring,2.152120015,Coastal,Nektonic
